Timestamp,ID,DLC,Data
135103,0x181,8,"1B 58 3C 10 41 20 00 02"
135112,0x1F9,8,"68 00 1B 58 00 00 00 00"
135120,0x23D,8,"43 02 00 18 01 CE 00 6E"
135131,0x23E,8,"02 00 FF CE 00 DA 00 92"
135144,0x794,3,"15 16 7A"
135158,0x251,8,"00 00 00 08 00 80 11 32"
135173,0x181,8,"1B 58 3C 10 41 20 00 02"
135294,0x300,1,"00"
135304,0x181,8,"1B 58 3C 10 41 20 00 02"
135318,0x300,1,"00"
135334,0x251,8,"00 00 00 08 00 C0 16 2F"
135426,0x358,8,"01 40 00 00 02 00 00 00"
135439,0x251,8,"00 00 00 08 00 40 10 41"
135455,0x251,8,"00 00 00 08 00 80 11 32"
135487,0x251,8,"00 00 00 08 00 C0 12 58"
135578,0x215,6,"FF F4 FF 00 FF FF"
135612,0x215,6,"FF F4 FF 00 FF FF"
135629,0x181,8,"1B 8A 3C 10 41 20 00 02"
135647,0x181,8,"1B BC 3C 10 41 20 00 02"
135666,0x181,8,"1C 07 3C 10 41 20 00 02"
135687,0x215,6,"FF F4 FF 00 FF FF"
135709,0x253,8,"01 9B 00 00 32 01 6B 03"
135730,0x300,1,"00"
135752,0x216,3,"40 00 00"
135774,0x794,3,"15 16 7A"
135797,0x23D,8,"03 02 00 27 01 F3 00 6E"
135822,0x215,6,"FF F4 FF 00 FF FF"
135849,0x1F9,8,"68 00 1D 1A 00 00 00 00"
135877,0x251,8,"00 00 00 08 00 C0 16 2F"
135905,0x251,8,"00 00 00 08 00 40 20 00"
135933,0x253,8,"03 9B 00 00 32 01 6B 03"
136087,0x181,8,"1D 7E 3E 10 3F 20 00 02"
136106,0x2DE,8,"00 00 80 06 5F FF 0D F8"
136125,0x251,8,"00 00 00 08 00 C0 20 00"
136145,0x181,8,"1D FB 3C 12 45 20 00 02"
136177,0x215,6,"FF F4 FF 00 FF FF"
136200,0x251,8,"00 00 00 08 00 40 10 41"
136258,0x1F9,8,"68 00 1E AA 00 00 00 00"
136315,0x181,8,"1E F5 41 1D 5A 20 00 02"
136339,0x181,8,"1F 59 42 1D 5A 20 00 02"
136367,0x355,7,"02 9B 00 00 00 00 0E"
136394,0x23D,8,"40 1B 10 45 01 6F 01 6E"
136422,0x2DE,8,"00 00 80 06 5F FF 0D F8"
136450,0x181,8,"23 0F 48 1D 57 20 00 02"
136480,0x181,8,"24 9F 49 1D 58 20 00 02"
136510,0x253,8,"00 9B 00 00 32 01 6B 03"
136666,0x181,8,"25 FD 49 1D 56 20 00 02"
136686,0x251,8,"00 00 00 08 00 80 13 39"
136710,0x215,6,"FF F4 FF 00 FF FF"
136733,0x2DE,8,"00 00 80 06 5F FF 0D F8"
136757,0x181,8,"27 F1 49 1D 54 20 00 02"
136783,0x215,6,"FF F4 FF 00 FF FF"
136811,0x215,6,"FF F4 FF 00 FF FF"
136838,0x23D,8,"00 16 0C B1 01 A9 01 6E"
136865,0x251,8,"00 00 00 08 00 40 14 38"
136893,0x300,1,"01"
136924,0x181,8,"2A 49 46 19 4D 20 00 02"
136952,0x35D,8,"C1 03 00 00 40 00 00 00"
136983,0x5E4,3,"00 00 00"
137013,0x358,8,"01 40 00 00 02 00 00 00"
137044,0x251,8,"00 00 00 08 00 40 10 41"
137201,0x300,1,"01"
137225,0x215,6,"FF F4 FF 00 FF FF"
137248,0x251,8,"00 00 00 08 00 80 21 00"
137274,0x181,8,"29 1D 43 1A 4F 20 00 02"
137300,0x23E,8,"01 02 F2 5E 01 DA 0D A0"
137328,0x23E,8,"01 02 F3 66 01 DA 0C A0"
137356,0x215,6,"FF F4 FF 00 FF FF"
137386,0x215,6,"FF F4 FF 00 FF FF"
137416,0x181,8,"28 EB 44 1A 4F 20 00 02"
137446,0x251,8,"00 00 00 08 00 80 11 32"
137477,0x215,6,"FF F4 FF 00 FF FF"
137511,0x2DE,8,"00 00 80 06 5F FF 0D F8"
137543,0x2DE,8,"00 00 80 06 5F FF 0D F8"
137576,0x280,8,"00 A3 00 00 04 0E 64 00"
137609,0x251,8,"00 00 00 08 00 00 15 56"
137767,0x280,8,"00 57 00 00 04 20 36 00"
137794,0x215,6,"FF F4 FF 00 FF FF"
137822,0x181,8,"2A 7B 43 1A 4E 20 00 02"
137852,0x215,6,"FF F4 FF 00 FF FF"
137881,0x794,3,"15 16 7B"
137912,0x215,6,"FF F4 FF 00 FF FF"
137943,0x181,8,"2B F2 43 1B 4E 20 00 02"
137974,0x300,1,"01"
138007,0x251,8,"00 00 00 08 00 40 16 2F"
138040,0x251,8,"00 00 00 08 00 00 21 00"
138075,0x35D,8,"C1 03 00 00 40 00 00 00"
138110,0x60D,8,"00 06 00 00 00 00 20 00"
138145,0x251,8,"00 00 00 08 00 40 20 00"
138181,0x2DE,8,"00 00 80 06 5F FF 0D F8"
138219,0x60D,8,"00 06 00 00 00 00 20 00"
138380,0x181,8,"2D 69 43 1A 4C 20 00 02"
138412,0x215,6,"FF F4 FF 00 FF FF"
138443,0x60D,8,"00 06 00 00 00 00 20 00"
138480,0x2DE,8,"00 00 80 06 5F FF 0D F8"
138511,0x280,8,"00 A5 00 00 04 CE 66 00"
138543,0x251,8,"00 00 00 08 00 80 21 00"
138575,0x251,8,"00 00 00 08 00 40 12 58"
138611,0x2DE,8,"00 00 80 06 5F FF 0D F8"
138645,0x181,8,"2F 2B 42 1B 4C 20 00 02"
138682,0x181,8,"2F 44 41 1A 4B 20 00 02"
138719,0x251,8,"00 00 00 08 00 80 15 56"
138758,0x181,8,"2F 76 41 1B 4C 20 00 02"
138795,0x35D,8,"C1 03 00 00 40 00 00 00"
138835,0x251,8,"00 00 00 08 00 00 15 56"
138884,0x5E4,3,"00 00 00"
139034,0x181,8,"30 0C 41 18 47 20 00 02"
139050,0x280,8,"00 56 00 00 05 33 35 00"
139067,0x251,8,"00 00 00 08 00 C0 10 41"
139084,0x215,6,"FF F4 FF 00 FF FF"
139103,0x181,8,"30 70 3C 10 38 20 00 02"
139122,0x181,8,"2E C7 38 10 38 20 00 02"
139141,0x251,8,"00 00 00 08 00 40 16 2F"
139160,0x215,6,"FF F4 FF 00 FF FF"
139180,0x181,8,"2E 63 37 10 38 20 00 02"
139201,0x251,8,"00 00 00 08 00 80 11 32"
139223,0x253,8,"00 9C 00 00 EF 01 88 05"
139248,0x23E,8,"02 00 FF 74 00 DA 00 A1"
139272,0x358,8,"01 40 00 00 02 00 00 00"
139296,0x181,8,"2D 9B 37 10 38 20 00 02"
139323,0x5C5,8,"40 03 01 0B 00 0C 00 7F"
139472,0x181,8,"2C D3 37 10 38 20 00 02"
139489,0x2DE,8,"00 00 80 06 5F FF 0D F8"
139508,0x215,6,"FF F4 FF 00 FF FF"
139528,0x181,8,"2C BA 36 10 38 20 00 02"
139547,0x251,8,"00 00 00 08 00 00 13 39"
139567,0x280,8,"00 56 00 00 05 76 35 00"
139589,0x215,6,"FF F4 FF 00 FF FF"
139610,0x215,6,"FF F4 FF 00 FF FF"
139633,0x23D,8,"63 00 00 BC 01 5B 00 6E"
139656,0x181,8,"2B 5C 36 10 39 20 00 02"
139682,0x181,8,"2B 5C 36 10 39 20 00 02"
139709,0x181,8,"2B 2A 36 10 39 20 00 02"
139736,0x35D,8,"C1 03 00 00 40 00 00 00"
139764,0x215,6,"FF F4 FF 00 FF FF"
139791,0x251,8,"00 00 00 08 00 40 16 2F"
139944,0x181,8,"2B 2A 36 10 39 20 00 02"
139963,0x5E4,3,"00 00 00"
139985,0x181,8,"2B 11 36 10 39 20 00 02"
140009,0x181,8,"2A F8 36 10 39 20 00 02"
140031,0x300,1,"01"
140056,0x181,8,"29 4F 36 10 39 20 00 02"
140080,0x181,8,"28 B9 37 10 39 20 00 02"
140104,0x181,8,"28 B9 37 10 39 20 00 02"
140129,0x23D,8,"43 04 00 A1 01 6A 00 6E"
140154,0x215,6,"FF F4 FF 00 FF FF"
140182,0x355,7,"05 77 00 00 00 00 0E"
140209,0x1F9,8,"68 00 28 3C 00 00 00 00"
140238,0x251,8,"00 00 00 08 00 80 11 32"
140269,0x215,6,"FF F4 FF 00 FF FF"
140299,0x215,6,"FF F4 FF 00 FF FF"
140454,0x251,8,"00 00 00 08 00 80 21 00"
140476,0x35D,8,"C1 03 00 00 40 00 00 00"
140500,0x253,8,"03 9C 00 00 F6 01 9C 05"
140528,0x2DE,8,"00 00 80 06 5F FF 0D DC"
140553,0x280,8,"00 58 00 00 05 76 36 00"
140580,0x358,8,"01 40 00 00 02 00 00 00"
140607,0x181,8,"23 41 35 10 3B 20 00 02"
140635,0x23E,8,"02 00 FF 44 00 DA 00 A2"
140662,0x181,8,"23 28 35 10 3B 20 00 02"
140689,0x23E,8,"02 00 FF 45 00 DA 00 A3"
140718,0x181,8,"23 28 35 10 3B 20 00 02"
140747,0x23E,8,"02 00 FF 4A 00 DA 00 A0"
140779,0x215,6,"FF F4 FF 00 FF FF"
140809,0x251,8,"00 00 00 08 00 80 17 2D"
140840,0x181,8,"22 DD 36 10 3C 20 00 02"
