Timestamp,ID,DLC,Data
233101,0x1F9,8,"20 00 39 85 00 00 00 00"
233107,0x23D,8,"40 18 10 4D 02 41 01 69"
233116,0x23E,8,"01 02 EF 41 01 DA 10 A2"
233126,0x794,3,"15 16 7A"
233137,0x300,1,"00"
233149,0x215,6,"FF F0 FF 00 FF FF"
233166,0x251,8,"03 03 00 08 40 00 17 2D"
233293,0x251,8,"03 03 00 08 40 40 20 00"
233324,0x251,8,"03 03 00 08 40 80 21 00"
233336,0x251,8,"03 03 00 08 40 C0 10 41"
233351,0x251,8,"03 03 00 08 40 00 11 32"
233433,0x251,8,"03 03 00 08 40 40 12 58"
233445,0x2DE,8,"00 00 80 06 51 00 0C C2"
233466,0x181,8,"39 9E 42 1D 4B 20 00 02"
233483,0x60D,8,"06 06 00 00 00 00 20 00"
233500,0x181,8,"39 85 42 1D 4B 20 00 02"
233517,0x253,8,"1D 9B 00 00 51 0A 33 07"
233535,0x625,6,"32 60 FF 1D 00 00"
233554,0x251,8,"03 03 00 08 40 00 13 39"
233574,0x253,8,"1D 9B 00 00 50 0A 33 07"
233688,0x251,8,"03 03 00 08 40 C0 16 2F"
233719,0x2DE,8,"00 00 80 06 50 FF 0C C2"
233733,0x1F9,8,"20 00 39 9E 00 00 00 00"
233747,0x253,8,"1C 9B 00 00 4E 0A 31 07"
233762,0x251,8,"03 03 00 08 40 80 13 39"
233778,0x5C5,8,"40 03 01 21 00 0C 00 7F"
233796,0x216,3,"40 00 00"
233813,0x181,8,"39 6C 41 1D 4B 20 00 02"
233831,0x251,8,"03 03 00 08 40 00 11 32"
233850,0x35D,8,"C0 03 00 00 40 00 00 00"
233869,0x5E4,3,"00 00 00"
233889,0x2DE,8,"00 00 80 06 50 FF 0C C2"
233909,0x358,8,"01 80 00 00 02 00 00 00"
233932,0x60D,8,"06 06 00 00 00 00 20 00"
233953,0x181,8,"39 85 41 1D 4B 20 00 02"
233976,0x181,8,"39 3A 41 1D 4C 20 00 02"
234124,0x5C5,8,"40 03 01 21 00 0C 00 7F"
234140,0x251,8,"03 03 00 08 40 00 17 2D"
234156,0x251,8,"03 03 00 08 40 80 21 00"
234176,0x251,8,"03 03 00 08 40 00 11 32"
234194,0x181,8,"39 21 41 1D 4C 20 00 02"
234213,0x251,8,"03 03 00 08 40 80 21 00"
234234,0x215,6,"FF F0 FF 00 FF FF"
234253,0x251,8,"03 03 00 08 40 40 12 58"
